name,symbol,category,author,keywords
Angle Down,fa-angle-down,UI,font-awesome,UI
Desktop,fa-desktop,Technology,font-awesome,Technology
Laptop,fa-laptop,Technology,font-awesome,Technology
Tablet,fa-tablet,Technology,font-awesome,Technology
Mobile,fa-mobile-phone,Technology,font-awesome,Technology
Circle,fa-circle-o,UI,font-awesome,UI
Qutoe Left,fa-quote-left,UI,font-awesome,UI
Quote Right,fa-quote-right,UI,font-awesome,UI
Spinner,fa-spinner,UI,font-awesome,UI
Circle,fa-circle,UI,font-awesome,UI
Reply,fa-reply,UI,font-awesome,UI
Github,fa-github-alt,Social,font-awesome,Social
Folder,fa-folder-o,UI,font-awesome,UI
Folder,fa-folder-open-o,UI,font-awesome,UI
Smile ,fa-smile-o,Social,font-awesome,Social
Frown,fa-frown-o,Social,font-awesome,Social
Meh,fa-meh-o,Social,font-awesome,Social
Gamepad,fa-gamepad,Technology,font-awesome,Technology
Keyboard,fa-keyboard-o,Technology,font-awesome,Technology
Flag,fa-flag-o,UI,font-awesome,UI
Flag Checkerred,fa-flag-checkered,UI,font-awesome,UI
Terminal,fa-terminal,Technology,font-awesome,Technology
Code,fa-code,Technology,font-awesome,Technology
Reply All,fa-reply-all,UI,font-awesome,UI
Mail Reply All,fa-mail-reply-all,UI,font-awesome,UI
Star Half,fa-star-half-o,UI,font-awesome,UI
Arrow Location,fa-location-arrow,UI,font-awesome,UI
Crop,fa-crop,Entertainment,font-awesome,Entertainment
Fork Code,fa-code-fork,Technology,font-awesome,Technology
Unlink,fa-unlink,UI,font-awesome,UI
Question,fa-question,UI,font-awesome,UI
Info,fa-info,UI,font-awesome,UI
Exclamation,fa-exclamation,UI,font-awesome,UI
Superscript,fa-superscript,UI,font-awesome,UI
Subscript,fa-subscript,UI,font-awesome,UI
Eraser,fa-eraser,Business,font-awesome,Business
Puzzle Piece,fa-puzzle-piece,UI,font-awesome,UI
Audio,fa-microphone,Entertainment,font-awesome,Entertainment
Mute,fa-microphone-slash,Entertainment,font-awesome,Entertainment
Shield,fa-shield,UI,font-awesome,UI
Calendar,fa-calendar-o,Business,font-awesome,Business
Fire Exttinguisher,fa-fire-extinguisher,UI,font-awesome,UI
Rocket,fa-rocket,Travel,font-awesome,Travel
Max CDN,fa-maxcdn,Technology,font-awesome,Technology
Circle Chevron Left,fa-chevron-circle-left,UI,font-awesome,UI
Circle Chevron Right,fa-chevron-circle-right,UI,font-awesome,UI
Circle Chevron Up,fa-chevron-circle-up,UI,font-awesome,UI
Circle Chevron Down,fa-chevron-circle-down,UI,font-awesome,UI
HTML5,fa-html5,Technology,font-awesome,Technology
CSS3,fa-css3,Technology,font-awesome,Technology
Anchor ,fa-anchor,UI,font-awesome,UI
Unlock,fa-unlock-alt,UI,font-awesome,UI
Bullseye,fa-bullseye,UI,font-awesome,UI
Ellipsis,fa-ellipsis-h,UI,font-awesome,UI
Ellipsis,fa-ellipsis-v,UI,font-awesome,UI
Ellipsis Vertical,fa-ellipsis-v,UI,font-awesome,UI
RSS,fa-rss-square,Social,font-awesome,Social
Play,fa-play-circle,Entertainment,font-awesome,Entertainment
Ticket,fa-ticket,UI,font-awesome,UI
Minus,fa-minus-square,UI,font-awesome,UI
Minus,fa-minus-square-o,UI,font-awesome,UI
Level Up,fa-level-up,UI,font-awesome,UI
Level Down,fa-level-down,UI,font-awesome,UI
OK,fa-check-square,UI,font-awesome,UI
Pencil,fa-pencil-square,Business,font-awesome,Business
Link,fa-external-link-square,UI,font-awesome,UI
Compass,fa-compass,UI,font-awesome,UI
Share,fa-share-square,UI,font-awesome,UI
Caret Square Up,fa-caret-square-o-up,UI,font-awesome,UI
Caret Square Down,fa-caret-square-o-down,UI,font-awesome,UI
Caret Square Right,fa-caret-square-o-right,UI,font-awesome,UI
Euro,fa-eur,Business,font-awesome,Business
British Pound,fa-gbp,Business,font-awesome,Business
US Dollar,fa-usd,Business,font-awesome,Business
Indian Rupee,fa-inr,Business,font-awesome,Business
Japenese Yen,fa-jpy,Business,font-awesome,Business
Chinese Yuan,fa-cny,Business,font-awesome,Business
So Korean Won,fa-krw,Business,font-awesome,Business
Bitcoin,fa-btc,Business,font-awesome,Business
File,fa-file,Business,font-awesome,Business
Document,fa-file-text,Business,font-awesome,Business
Sort Alpha Asc,fa-sort-alpha-asc,UI,font-awesome,UI
Sort Alpha Desc,fa-sort-alpha-desc,UI,font-awesome,UI
Sort Amount Asc,fa-sort-amount-asc,UI,font-awesome,UI
Sort Amount Desc,fa-sort-amount-desc,UI,font-awesome,UI
Sort Numeric Asc,fa-sort-numeric-asc,UI,font-awesome,UI
Sort Numeric Desc,fa-sort-numeric-desc,UI,font-awesome,UI
Thumbs Up,fa-thumbs-up,Social,font-awesome,Social
Thumbs Down,fa-thumbs-down,Social,font-awesome,Social
YouTube,fa-youtube-square,Social,font-awesome,Social
YouTube,fa-youtube,Social,font-awesome,Social
Xing,fa-xing,Social,font-awesome,Social
Xing,fa-xing-square,Social,font-awesome,Social
YouTube Play,fa-youtube-play,Social,font-awesome,Social
DropBox,fa-dropbox,Social,font-awesome,Social
Stack Overflow,fa-stack-overflow,Social,font-awesome,Social
Instagram,fa-instagram,Social,font-awesome,Social
Flickr,fa-flickr,Social,font-awesome,Social
Ad-n,fa-adn,Social,font-awesome,Social
BitBucket,fa-bitbucket,Social,font-awesome,Social
BitBucket,fa-bitbucket-square,Social,font-awesome,Social
Tumblr,fa-tumblr,Social,font-awesome,Social
Tumblr,fa-tumblr-square,Social,font-awesome,Social
Arrow Long Down,fa-long-arrow-down,UI,font-awesome,UI
Arrow Long Up,fa-long-arrow-up,UI,font-awesome,UI
Arrow Long Left,fa-long-arrow-left,UI,font-awesome,UI
Arrow Long Right,fa-long-arrow-right,UI,font-awesome,UI
Apple,fa-apple,Technology,font-awesome,Technology
Windows,fa-windows,Technology,font-awesome,Technology
Android,fa-android,Technology,font-awesome,Technology
Linux,fa-linux,Technology,font-awesome,Technology
Dribble,fa-dribbble,Social,font-awesome,Social
Skype,fa-skype,Social,font-awesome,Social
FourSquare,fa-foursquare,Social,font-awesome,Social
Trello,fa-trello,Social,font-awesome,Social
Female,fa-female,Social,font-awesome,Social
Male,fa-male,Social,font-awesome,Social
GitTip,fa-gittip,Social,font-awesome,Social
Sun,fa-sun-o,Nature,font-awesome,Nature
Moon,fa-moon-o,Nature,font-awesome,Nature
Archive,fa-archive,UI,font-awesome,UI
Bug,fa-bug,Technology,font-awesome,Technology
Vk,fa-vk,Social,font-awesome,Social
Weibo,fa-weibo,Social,font-awesome,Social
RenRen,fa-renren,Social,font-awesome,Social
PageLines,fa-pagelines,Social,font-awesome,Social
Stack Exchange,fa-stack-exchange,Social,font-awesome,Social
Circle Arrow Right,fa-arrow-circle-o-right,UI,font-awesome,UI
Circle Arrow Left,fa-arrow-circle-o-left,UI,font-awesome,UI
Square Caret Left,fa-caret-square-o-left,UI,font-awesome,UI
Circle Dot,fa-dot-circle-o,UI,font-awesome,UI
Wheelchair,fa-wheelchair,UI,font-awesome,UI
Vimeo,fa-vimeo-square,Social,font-awesome,Social
Try,fa-try,Social,font-awesome,Social
Square Plus,fa-plus-square-o,UI,font-awesome,UI
Popsicle,st-popsicle,Entertainment,streamline,Entertainment
Hotdog,st-hotdog,Entertainment,streamline,Entertainment
Knife & Fork,st-knife-fork,Entertainment,streamline,Entertainment
Chef Hat,st-hat-chef,Entertainment,streamline,Entertainment
Barbecue,st-barbecue,Entertainment,streamline,Entertainment
Bar chart,bb-bar-chart,Business,fontology,Business
Bookmark,bb-bookmark,UI,fontology,UI
Calculator,bb-calculator,Business,fontology,Business
Mail ,bb-message-mail,UI,fontology,UI
BBM,bb-message-bbm,UI,fontology,UI
Map Marker,bb-map-marker,UI,fontology,UI
SMS,bb-message-text,UI,fontology,UI
Cloud Upload,bb-cloud-upload,UI,fontology,UI
Cloud Download,bb-cloud-download,UI,fontology,UI
Cloud,bb-cloud,UI,fontology,UI
Document,bb-document,UI,fontology,UI
Pencil,bb-pencil,Business,fontology,Business
Heart,bb-heart,UI,fontology,UI
Camera,bb-camera-still,Entertainment,fontology,Entertainment
Video camera,bb-camera-video,Entertainment,fontology,Entertainment
Star,bb-star,BBUI,fontology,BBUI
Warning,bb-warning,BBUI,fontology,BBUI
Vimeo,bb-square-vimeo,Social,fontology,Social
Twitter,bb-square-twitter,Social,fontology,Social
Twitter,bb-square-twitter-bird,Social,fontology,Social
Radio,bb-radio,UI,fontology,UI
Pie Chart,bb-pie-chart,Business,fontology,Business
Ring Buoy,bb-ring-buoy,UI,fontology,UI
LinkedIN,bb-square-linkedin,Social,fontology,Social
LinkedIN,bb-circle-linkedin,Social,fontology,Social
Google Plus,bb-square-googleplus,Social,fontology,Social
Google Plus,bb-circle-googleplus,Social,fontology,Social
Pinterest,bb-square-pinterest,Social,fontology,Social
Pinterest,bb-circle-pinterest,Social,fontology,Social
RSS,bb-square-rss,Social,fontology,Social
RSS,bb-circle-rss,Social,fontology,Social
YouTube,bb-square-youtube,Social,fontology,Social
YouTube,bb-circle-youtube,Social,fontology,Social
Facebook,bb-square-facebook,Social,fontology,Social
Facebook,bb-circle-facebook,Social,fontology,Social
Flickr,bb-square-flickr,Social,fontology,Social
Flickr,bb-circle-flickr,Social,fontology,Social
Twitter,bb-square-twitter,Social,fontology,Social
Twitter,bb-circle-twitter,Social,fontology,Social
Twitter,bb-square-twitter-bird,Social,fontology,Social
Twitter,bb-circle-twitter-bird,Social,fontology,Social
FaceBook,bb-square-facebook,Social,fontology,Social
FaceBook,bb-circle-facebook,Social,fontology,Social
